Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Ninja Porter,429,0.053,26,529,American Porter,12,529,Asheville,NC
Shiva IPA,428,0.06,69,529,American IPA,12,529,Asheville,NC
Walter's Premium Pilsener Beer,541,0.045,NA,530,German Pilsener,12,530,Eau Claire,WI
Floppin' Crappie,109,0.045,NA,530,American Pale Wheat Ale,12,530,Eau Claire,WI
Tour de Nez Belgian IPA (Current),538,0.08,NA,531,Belgian IPA,16,531,Reno,NV
Roler Bock (Current),504,NA,NA,531,Maibock / Helles Bock,16,531,Reno,NV
Black Adder IBA (Current),383,0.073,85,531,American Black Ale,16,531,Reno,NV
Very Noddy Lager (Current),29,0.099,NA,531,Schwarzbier,16,531,Reno,NV
Tule Duck Red Ale (Current),28,0.062,42,531,American Amber / Red Ale,16,531,Reno,NV
Original Orange Blossom Ale (Current),27,0.058,35,531,Herbed / Spiced Beer,16,531,Reno,NV
Black Noddy Lager (Current),26,0.052,40,531,Schwarzbier,16,531,Reno,NV
Dolores River Hefeweizen,524,NA,NA,532,Hefeweizen,16,532,Dolores,CO
Dolores River ESB,450,NA,NA,532,Extra Special / Strong Bitter (ESB),16,532,Dolores,CO
Snaggletooth Double Pale Ale,449,NA,NA,532,American Double / Imperial IPA,16,532,Dolores,CO
Dolores River Pale Ale,448,NA,NA,532,American Pale Ale (APA),16,532,Dolores,CO
Dolores River Dry Stout,447,NA,NA,532,Irish Dry Stout,16,532,Dolores,CO
Dolores River Mild,446,NA,NA,532,English Dark Mild Ale,16,532,Dolores,CO
Inclined Plane Ale,520,NA,NA,533,American IPA,12,533,Smithton,PA
Jockamo IPA,516,0.065,52,534,American IPA,12,534,Abita Springs,LA
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,534,Abita Springs,LA
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,534,Abita Springs,LA
High Country Pilsner (Current),511,0.042,NA,535,German Pilsener,12,535,Mammoth Lakes,CA
Epic IPA,75,0.065,NA,535,American IPA,12,535,Mammoth Lakes,CA
Golden Trout Pilsner,74,0.042,NA,535,German Pilsener,12,535,Mammoth Lakes,CA
Real McCoy Amber Ale (Current),73,0.045,NA,535,American Amber / Red Ale,12,535,Mammoth Lakes,CA
Great Falls Select Pale Ale,506,NA,NA,536,American Blonde Ale,12,536,Belt,MT
Beltian White,181,0.048,NA,536,Witbier,12,536,Belt,MT
White Water Wheat,477,0.05,NA,537,American Pale Wheat Ale,12,537,Williams,AZ
Grand Canyon American Pilsner,476,0.052,NA,537,American Pilsner,12,537,Williams,AZ
Grand Canyon Sunset Amber Ale,143,0.054,NA,537,American Amber / Red Ale,12,537,Williams,AZ
Black Iron India Pale Ale,142,NA,NA,537,American IPA,12,537,Williams,AZ
Yellowstone Golden Ale,475,0.051,NA,538,Kölsch,12,538,Helena,MT
Tumbleweed IPA,474,0.057,NA,538,American IPA,12,538,Helena,MT
Lewis & Clark Amber Ale,473,0.05,NA,538,American Amber / Red Ale,12,538,Helena,MT
Miner's Gold Hefeweizen,472,0.05,NA,538,Hefeweizen,12,538,Helena,MT
Back Country Scottish Ale,471,0.057,NA,538,Scottish Ale,12,538,Helena,MT
Dundee Summer Wheat Beer,457,0.045,18,539,American Pale Wheat Ale,12,539,Rochester,NY
Greenville Pale Ale,433,0.055,52,540,American Pale Ale (APA),12,540,Greenville,DE
Second Wind Pale Ale,419,0.05,NA,541,American Pale Ale (APA),12,541,Kinston,NC
Sunny Haze,408,0.05,NA,541,Hefeweizen,12,541,Kinston,NC
Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12,542,Battle Creek,MI
Whitsun,390,0.062,17,542,American Pale Wheat Ale,12,542,Battle Creek,MI
River Pig Pale Ale,410,0.054,NA,543,American Pale Ale (APA),16,543,Hayward,WI
Oaky's Oatmeal Stout,409,0.047,NA,543,Oatmeal Stout,16,543,Hayward,WI
Black Star Double Hopped Golden Lager (24 oz.),404,0.045,15,544,American Pale Lager,24,544,Whitefish,MT
Black Star Double Hopped Golden Lager (12 oz.),164,0.045,15,544,American Pale Lager,12,544,Whitefish,MT
Pyramid Hefeweizen (2011),399,0.052,18,545,Hefeweizen,12,545,Seattle,WA
Haywire Hefeweizen (2010),82,0.052,18,545,Hefeweizen,16,545,Seattle,WA
Rumspringa Golden Bock,392,0.066,30,546,Maibock / Helles Bock,12,546,Lancaster,PA
Lancaster German Style Kölsch,195,0.048,28,546,Kölsch,12,546,Lancaster,PA
Common Sense Kentucky Common Ale,382,0.053,22,547,American Brown Ale,16,547,Elmira,NY
Upstate I.P.W.,381,0.065,70,547,American IPA,12,547,Elmira,NY
Boneshaker Brown Ale,337,0.055,NA,548,English Brown Ale,24,548,North Conway,NH
Iron Mike Pale Ale,336,0.056,NA,548,American Pale Ale (APA),24,548,North Conway,NH
Ponderosa IPA,335,NA,NA,549,American IPA,12,549,Prescott,AZ
Liquid Amber Ale,64,NA,NA,549,American Amber / Red Ale,12,549,Prescott,AZ
Wapiti Amber Ale,327,0.05,NA,550,American Amber / Red Ale,12,550,Flagstaff,AZ
Wyoming Pale Ale,324,0.072,NA,551,American Pale Ale (APA),16,551,Pinedale,WY
Wind River Blonde Ale,323,0.05,NA,551,American Blonde Ale,16,551,Pinedale,WY
Bear Ass Brown,212,0.042,NA,552,American Brown Ale,12,552,Silverton,CO
Red Mountain Ale,161,0.06,NA,552,American Amber / Red Ale,12,552,Silverton,CO
Ice Pick Ale,160,0.068,NA,552,American IPA,12,552,Silverton,CO
Mickey Finn's Amber Ale,174,0.056,NA,553,American Amber / Red Ale,12,553,Libertyville,IL
Heiner Brau Kölsch,129,0.05,NA,554,Kölsch,12,554,Covington,LA
BrewFarm Select Golden Lager,110,0.055,NA,555,American Pale Lager,12,555,Wilson,WI
Pilsner Ukiah,98,0.055,NA,556,German Pilsener,12,556,Ukiah,CA
Heinnieweisse Weissebier,52,0.049,NA,557,Hefeweizen,12,557,Garrattsville,NY
Snapperhead IPA,51,0.068,NA,557,American IPA,12,557,Garrattsville,NY
Moo Thunder Stout,50,0.049,NA,557,Milk / Sweet Stout,12,557,Garrattsville,NY
Porkslap Pale Ale,49,0.043,NA,557,American Pale Ale (APA),12,557,Garrattsville,NY
Urban Wilderness Pale Ale,30,0.049,NA,558,English Pale Ale,12,558,Anchorage,AK
